Circuit name,Transfection group,Contents,Concentration (ng/uL),DNA wanted (ng)
Opt0097,X1,CasE,50,100
Opt0097,X1,mKO2,50,150
Opt0097,X2,Csy4,50,75
Opt0097,X2,mMaroon1,50,200
Opt0097,X3,Csy4_rec_CasE,50,50
Opt0097,Bias,CasE_rec_mNeonGreen,50,75
Opt0110,X1,Csy4,50,100
Opt0110,X1,mKO2,50,175
Opt0110,X2,CasE,50,75
Opt0110,X2,mMaroon1,50,125
Opt0110,X3,Csy4_rec_CasE,50,125
Opt0110,X1,CasE_rec_mNeonGreen,50,50
Opt0131,X1,Csy4,50,100
Opt0131,X1,mMaroon1,50,50
Opt0131,X2,CasE,50,100
Opt0131,X2,mNeonGreen,50,75
Opt0131,X3,PgU,50,75
Opt0131,X3,PgU_rec_CasE,50,200
Opt0131,Bias,CasE_rec_Csy4_rec_mKO2,50,50
Opt0054,X1,CasE,50,100
Opt0054,X1,mKO2,50,75
Opt0054,X2,Csy4,50,125
Opt0054,X2,mMaroon1,50,175
Opt0054,X3,Csy4_rec_CasE,50,50
Opt0054,Bias,CasE_rec_mNeonGreen,50,125
Opt0028,X1,Csy4,50,75
Opt0028,X1,eBFP2,50,75
Opt0028,X2,CasE,50,50
Opt0028,X2,mMaroon1,50,50
Opt0028,X3,PgU,50,100
Opt0028,X3,CasE_rec_Csy4,50,200
Opt0028,Bias,Csy4_rec_mNeonGreen,50,100
Opt0139,X1,Csy4,50,100
Opt0139,X1,eBFP2,50,200
Opt0139,X2,CasE,50,100
Opt0139,X2,mKO2,50,50
Opt0139,X1,CasE_rec_Csy4,50,50
Opt0139,Bias,Csy4_rec_mNeonGreen,50,150
Opt0136,X1,Csy4,50,75
Opt0136,X1,eBFP2,50,175
Opt0136,X2,CasE,50,100
Opt0136,X2,mMaroon1,50,50
Opt0136,X3,PgU,50,100
Opt0136,X3,CasE_rec_Csy4,50,100
Opt0136,Bias,Csy4_rec_mNeonGreen,50,50
Opt0073,X1,CasE,50,175
Opt0073,X1,eBFP2,50,50
Opt0073,X2,Csy4,50,75
Opt0073,X2,mMaroon1,50,75
Opt0073,X3,PgU_rec_CasE,50,175
Opt0073,X1,CasE_rec_Csy4_rec_mKO2,50,100
Opt0057,X1,Csy4,50,50
Opt0057,X1,eBFP2,50,75
Opt0057,X2,CasE,50,75
Opt0057,X2,mMaroon1,50,100
Opt0057,X3,PgU,50,50
Opt0057,X3,CasE_rec_Csy4,50,200
Opt0057,Bias,Csy4_rec_mNeonGreen,50,100
Opt0094,X1,CasE,50,175
Opt0094,X1,eBFP2,50,125
Opt0094,X2,Csy4,50,75
Opt0094,X2,mNeonGreen,50,75
Opt0094,X1,PgU_rec_Csy4,50,125
Opt0094,X2,CasE_rec_Csy4_rec_mKO2,50,75
