Circuit name,Transfection group,Contents,Concentration (ng/uL),DNA wanted (ng)
Dose_A1,X1,CasE_rec_mNeonGreen,50,200
Dose_A1,X1,eBFP2,50,100
Dose_A2,X1,CasE,50,25
Dose_A2,X1,CasE_rec_mNeonGreen,50,200
Dose_A2,X1,eBFP2,50,100
Dose_A3,X1,CasE,50,50
Dose_A3,X1,CasE_rec_mNeonGreen,50,200
Dose_A3,X1,eBFP2,50,100
Dose_A4,X1,CasE,50,75
Dose_A4,X1,CasE_rec_mNeonGreen,50,200
Dose_A4,X1,eBFP2,50,100
Dose_A5,X1,CasE,50,100
Dose_A5,X1,CasE_rec_mNeonGreen,50,200
Dose_A5,X1,eBFP2,50,100
Dose_A6,X1,CasE,50,150
Dose_A6,X1,CasE_rec_mNeonGreen,50,200
Dose_A6,X1,eBFP2,50,100
Dose_B1,X1,CasE_rec_mNeonGreen,50,200
Dose_B1,X1,eBFP2,50,100
Dose_B2,X1,CasE,50,25
Dose_B2,X1,CasE_rec_mNeonGreen,50,200
Dose_B2,X1,eBFP2,50,100
Dose_B3,X1,CasE,50,50
Dose_B3,X1,CasE_rec_mNeonGreen,50,200
Dose_B3,X1,eBFP2,50,100
Dose_B4,X1,CasE,50,75
Dose_B4,X1,CasE_rec_mNeonGreen,50,200
Dose_B4,X1,eBFP2,50,100
Dose_B5,X1,CasE,50,100
Dose_B5,X1,CasE_rec_mNeonGreen,50,200
Dose_B5,X1,eBFP2,50,100
Dose_B6,X1,CasE,50,150
Dose_B6,X1,CasE_rec_mNeonGreen,50,200
Dose_B6,X1,eBFP2,50,100
Dose_C1,X1,CasE_rec_mNeonGreen,50,200
Dose_C1,X1,eBFP2,50,100
Dose_C2,X1,CasE,50,25
Dose_C2,X1,CasE_rec_mNeonGreen,50,200
Dose_C2,X1,eBFP2,50,100
Dose_C3,X1,CasE,50,50
Dose_C3,X1,CasE_rec_mNeonGreen,50,200
Dose_C3,X1,eBFP2,50,100
Dose_C4,X1,CasE,50,75
Dose_C4,X1,CasE_rec_mNeonGreen,50,200
Dose_C4,X1,eBFP2,50,100
Dose_C5,X1,CasE,50,100
Dose_C5,X1,CasE_rec_mNeonGreen,50,200
Dose_C5,X1,eBFP2,50,100
Dose_C6,X1,CasE,50,150
Dose_C6,X1,CasE_rec_mNeonGreen,50,200
Dose_C6,X1,eBFP2,50,100
Dose_D1,X1,CasE_rec_mNeonGreen,50,200
Dose_D1,X1,eBFP2,50,100
Dose_D2,X1,CasE,50,25
Dose_D2,X1,CasE_rec_mNeonGreen,50,200
Dose_D2,X1,eBFP2,50,100
Dose_D3,X1,CasE,50,50
Dose_D3,X1,CasE_rec_mNeonGreen,50,200
Dose_D3,X1,eBFP2,50,100
Dose_D4,X1,CasE,50,75
Dose_D4,X1,CasE_rec_mNeonGreen,50,200
Dose_D4,X1,eBFP2,50,100
Dose_D5,X1,CasE,50,100
Dose_D5,X1,CasE_rec_mNeonGreen,50,200
Dose_D5,X1,eBFP2,50,100
Dose_D6,X1,CasE,50,150
Dose_D6,X1,CasE_rec_mNeonGreen,50,200
Dose_D6,X1,eBFP2,50,100
