Circuit name,Transfection group,Contents,Concentration (ng/uL),DNA wanted (ng),DNA source,DNA destination,L3K/OM MM destination,Plate destination,Diluted source,Transfection type
DotSelf,X1,Csy4,50,125,A1.1,B1.1,C1.1,A1.1,,Co
DotSelf,X1,Csy4_rec_mNeonGreen,50,125,A2.1,B1.1,C1.1,A1.1,,Co
DotSelf,X1,eBFP2,50,75,A3.1,B1.1,C1.1,A1.1,D1.1,Co
DotSelf,X2,CasE,50,125,A4.1,B2.1,C2.1,A1.1,,Co
DotSelf,X2,CasE_rec_mNeonGreen,50,125,A5.1,B2.1,C2.1,A1.1,,Co
DotSelf,X2,mMaroon1,50,75,A6.1,B2.1,C2.1,A1.1,D2.1,Co
DotXOR,X1,Csy4,50,125,A1.1,B3.1,C3.1,A2.1,,Co
DotXOR,X1,CasE_rec_mNeonGreen,50,125,A5.1,B3.1,C3.1,A2.1,,Co
DotXOR,X1,eBFP2,50,75,A3.1,B3.1,C3.1,A2.1,D1.1,Co
DotXOR,X2,CasE,50,125,A4.1,B4.1,C4.1,A2.1,,Co
DotXOR,X2,Csy4_rec_mNeonGreen,50,125,A2.1,B4.1,C4.1,A2.1,,Co
DotXOR,X2,mMaroon1,50,75,A6.1,B4.1,C4.1,A2.1,D2.1,Co
DotGrad,X1,Csy4_rec_mNeonGreen,50,200,A2.1,B5.1,C5.1,A3.1,,Co
DotGrad,X1,eBFP2,50,100,A3.1,B5.1,C5.1,A3.1,,Co
DotGrad,X2,Csy4,50,250,A1.1,B6.1,C6.1,A3.1,,Co
DotGrad,X2,mMaroon1,50,100,A6.1,B6.1,C6.1,A3.1,,Co
