Circuit name,Transfection group,Contents,Concentration (ng/uL),DNA wanted (ng)
DotSelf,X1,Csy4,50,125
DotSelf,X1,Csy4_rec_mNeonGreen,50,125
DotSelf,X1,eBFP2,50,75
DotSelf,X2,CasE,50,125
DotSelf,X2,CasE_rec_mNeonGreen,50,125
DotSelf,X2,mMaroon1,50,75
DotXOR,X1,Csy4,50,125
DotXOR,X1,CasE_rec_mNeonGreen,50,125
DotXOR,X1,eBFP2,50,75
DotXOR,X2,CasE,50,125
DotXOR,X2,Csy4_rec_mNeonGreen,50,125
DotXOR,X2,mMaroon1,50,75
DotGrad,X1,Csy4_rec_mNeonGreen,50,200
DotGrad,X1,eBFP2,50,100
DotGrad,X2,Csy4,50,250
DotGrad,X2,mMaroon1,50,100
